PartijNummer,Partijen,Avelgem,Spiere-Helkijn,Totalen
2,Groen,384,27,411,
3,Vlaams Belang,271,28,299,
7,OpenVld,746,173,919,
12,sp.a,633,115,748,
13,N-VA,1429,101,1530,
15,CD&V,1436,99,1535,
17,PVDA+,97,7,104,
29,R.O.S.S.E.M.,19,0,19,
31,ROEL,8,2,10,
32,GENOEG,4,0,4,
33,VCP,14,2,16,
34,Piratenpartij,42,10,52,
35,V.I.T.A.L.,4,2,6,
,
PartijNummer,Partijen,Dentergem,Meulebeke,Totalen
2,Groen,313,355,668,
3,Vlaams Belang,316,397,713,
7,OpenVld,579,667,1246,
12,sp.a,706,1015,1721,
13,N-VA,2174,2390,4564,
15,CD&V,1558,2483,4041,
17,PVDA+,62,111,173,
29,R.O.S.S.E.M.,18,23,41,
31,ROEL,3,11,14,
32,GENOEG,7,11,18,
33,VCP,12,13,25,
34,Piratenpartij,29,35,64,
35,V.I.T.A.L.,1,6,7,
,
PartijNummer,Partijen,Nieuwpoort,Totalen
2,Groen,463,463
3,Vlaams Belang,412,412
7,OpenVld,940,940
12,sp.a,1228,1228
13,N-VA,2877,2877
15,CD&V,1948,1948
17,PVDA+,92,92
29,R.O.S.S.E.M.,29,29
31,ROEL,15,15
32,GENOEG,11,11
33,VCP,16,16
34,Piratenpartij,71,71
35,V.I.T.A.L.,7,7
,
PartijNummer,Partijen,Bredene,de Haan,Middelkerke,Oostende,Totalen
2,Groen,772,583,753,4660,6768,
3,Vlaams Belang,658,388,806,3043,4895,
7,OpenVld,1072,2033,2623,6161,11889,
12,sp.a,3853,1338,1824,11096,18111,
13,N-VA,3361,3287,4447,12894,23989,
15,CD&V,1494,1317,2552,5857,11220,
17,PVDA+,232,97,163,967,1459,
29,R.O.S.S.E.M.,30,23,40,180,273,
31,ROEL,19,12,34,76,141,
32,GENOEG,20,11,33,186,250,
33,VCP,4,5,20,59,88,
34,Piratenpartij,83,76,125,425,709,
35,V.I.T.A.L.,67,14,15,43,139,
,
PartijNummer,Partijen,Oostrozebeke,Wielsbeke,Totalen
2,Groen,248,250,498,
3,Vlaams Belang,329,392,721,
7,OpenVld,462,528,990,
12,sp.a,532,587,1119,
13,N-VA,1784,2143,3927,
15,CD&V,1705,2391,4096,
17,PVDA+,61,59,120,
29,R.O.S.S.E.M.,13,10,23,
31,ROEL,4,6,10,
32,GENOEG,12,9,21,
33,VCP,9,9,18,
34,Piratenpartij,40,31,71,
35,V.I.T.A.L.,1,7,8,
,
PartijNummer,Partijen,Poperinge,Totalen
2,Groen,895,895
3,Vlaams Belang,678,678
7,OpenVld,2212,2212
12,sp.a,1809,1809
13,N-VA,3389,3389
15,CD&V,3918,3918
17,PVDA+,168,168
29,R.O.S.S.E.M.,47,47
31,ROEL,30,30
32,GENOEG,22,22
33,VCP,59,59
34,Piratenpartij,74,74
35,V.I.T.A.L.,11,11
,
PartijNummer,Partijen,Ledegem,Moorslede,Roeselare,Totalen
2,Groen,285,398,3111,3794
3,Vlaams Belang,302,388,2340,3030
7,OpenVld,538,926,4269,5733
12,sp.a,804,1082,6030,7916
13,N-VA,1643,2265,13168,17076
15,CD&V,3033,2108,9212,14353
17,PVDA+,79,103,605,787
29,R.O.S.S.E.M.,12,18,115,145
31,ROEL,3,14,55,72
32,GENOEG,8,9,138,155
33,VCP,10,9,67,86
34,Piratenpartij,27,44,276,347
35,V.I.T.A.L.,1,2,24,27
,
PartijNummer,Partijen,Ruiselede,Wingene,Totalen
2,Groen,218,512,730,
3,Vlaams Belang,179,510,689,
7,OpenVld,564,983,1547,
12,sp.a,293,1028,1321,
13,N-VA,1050,2932,3982,
15,CD&V,1211,3345,4556,
17,PVDA+,64,126,190,
29,R.O.S.S.E.M.,12,34,46,
31,ROEL,3,11,14,
32,GENOEG,5,15,20,
33,VCP,5,24,29,
34,Piratenpartij,26,39,65,
35,V.I.T.A.L.,4,6,10,
,
PartijNummer,Partijen,Ardooie,Pittem,Tielt,Totalen
2,Groen,339,192,903,1434
3,Vlaams Belang,309,277,639,1225
7,OpenVld,1067,525,1572,3164
12,sp.a,697,451,1954,3102
13,N-VA,1877,1368,3761,7006
