Postcode, Gewest, Gemeente, Bruto inkomen, NAMN
1000,Brussels Hoofdstedelijk Gewest,Brussel,12254,Brussel#Bruxelles
1040,Brussels Hoofdstedelijk Gewest,Etterbeek,14072,Etterbeek
1140,Brussels Hoofdstedelijk Gewest,Evere,13596,Evere
1190,Brussels Hoofdstedelijk Gewest,Vorst,14311,Vorst#Forest
1083,Brussels Hoofdstedelijk Gewest,Ganshoren,15231,Ganshoren
1050,Brussels Hoofdstedelijk Gewest,Elsene,15428,Elsene#Ixelles
1090,Brussels Hoofdstedelijk Gewest,Jette,14959,Jette
1081,Brussels Hoofdstedelijk Gewest,Koekelberg,12616,Koekelberg
1080,Brussels Hoofdstedelijk Gewest,Sint-Jans-Molenbeek,10350,Sint-Jan-Molenbeek#Molenbeek-Saint-Jean
1060,Brussels Hoofdstedelijk Gewest,Sint-Gillis,12296,Sint-Gillis#Saint-Gilles
1210,Brussels Hoofdstedelijk Gewest,Sint-Joost-ten-Node,8824,Sint-Joost-ten-Node#Saint-Josse-ten-Noode
1030,Brussels Hoofdstedelijk Gewest,Schaarbeek,11663,Schaarbeek#Schaerbeek
1180,Brussels Hoofdstedelijk Gewest,Ukkel,19325,Ukkel#Uccle
1170,Brussels Hoofdstedelijk Gewest,Watermaal-Bosvoorde,19681,Watermaal-Bosvoorde#Watermael-Boitsfort
1200,Brussels Hoofdstedelijk Gewest,Sint-Lambrechts-Woluwe,16515,Sint-Lambrechts-Woluwe#Woluwe-Saint-Lambert
1150,Brussels Hoofdstedelijk Gewest,Sint-Pieters-Woluwe,19318,Sint-Pieters-Woluwe#Woluwe-Saint-Pierre
